CUSTOMER -> | id customer:33 | n. bought products:4 | time in the supermarket: 15.165 s | time in queue: 15.021 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:78 | n. bought products:94 | time in the supermarket: 5.462 s | time in queue: 5.403 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:57 | n. bought products:57 | time in the supermarket: 11.431 s | time in queue: 11.263 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:80 | n. bought products:5 | time in the supermarket: 5.636 s | time in queue: 5.496 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:44 | n. bought products:39 | time in the supermarket: 15.820 s | time in queue: 15.693 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:95 | n. bought products:59 | time in the supermarket: 1.689 s | time in queue: 1.604 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:82 | n. bought products:41 | time in the supermarket: 5.250 s | time in queue: 5.078 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:50 | n. bought products:69 | time in the supermarket: 16.578 s | time in queue: 16.433 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:96 | n. bought products:41 | time in the supermarket: 2.030 s | time in queue: 1.941 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:61 | n. bought products:80 | time in the supermarket: 12.227 s | time in queue: 12.146 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:107 | n. bought products:0 | time in the supermarket: 0.073 s | time in queue: 0.000 s | n. queues checked: 0 | 
CUSTOMER -> | id customer:38 | n. bought products:32 | time in the supermarket: 17.254 s | time in queue: 17.096 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:4 | n. bought products:73 | time in the supermarket: 17.360 s | time in queue: 17.206 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:99 | n. bought products:58 | time in the supermarket: 2.197 s | time in queue: 2.175 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:16 | n. bought products:38 | time in the supermarket: 18.049 s | time in queue: 17.883 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:63 | n. bought products:64 | time in the supermarket: 12.615 s | time in queue: 12.604 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:3 | n. bought products:20 | time in the supermarket: 18.484 s | time in queue: 18.311 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:111 | n. bought products:47 | time in the supermarket: 0.992 s | time in queue: 0.982 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:21 | n. bought products:91 | time in the supermarket: 19.257 s | time in queue: 19.101 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:101 | n. bought products:94 | time in the supermarket: 4.151 s | time in queue: 4.096 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:116 | n. bought products:24 | time in the supermarket: 0.732 s | time in queue: 0.556 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:64 | n. bought products:69 | time in the supermarket: 14.048 s | time in queue: 14.033 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:45 | n. bought products:92 | time in the supermarket: 20.356 s | time in queue: 20.176 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:103 | n. bought products:53 | time in the supermarket: 4.537 s | time in queue: 4.401 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:15 | n. bought products:84 | time in the supermarket: 21.014 s | time in queue: 20.853 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:40 | n. bought products:40 | time in the supermarket: 21.190 s | time in queue: 21.000 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:65 | n. bought products:75 | time in the supermarket: 15.599 s | time in queue: 15.556 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:121 | n. bought products:24 | time in the supermarket: 0.697 s | time in queue: 0.555 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:54 | n. bought products:16 | time in the supermarket: 19.266 s | time in queue: 19.183 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:28 | n. bought products:27 | time in the supermarket: 21.630 s | time in queue: 21.452 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:68 | n. bought products:16 | time in the supermarket: 15.759 s | time in queue: 15.606 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:106 | n. bought products:70 | time in the supermarket: 5.117 s | time in queue: 5.095 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:70 | n. bought products:28 | time in the supermarket: 15.289 s | time in queue: 15.257 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:5 | n. bought products:55 | time in the supermarket: 22.809 s | time in queue: 22.627 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:66 | n. bought products:81 | time in the supermarket: 16.940 s | time in queue: 16.820 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:110 | n. bought products:41 | time in the supermarket: 5.839 s | time in queue: 5.681 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:112 | n. bought products:1 | time in the supermarket: 5.139 s | time in queue: 5.075 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:83 | n. bought products:22 | time in the supermarket: 12.421 s | time in queue: 12.372 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:71 | n. bought products:58 | time in the supermarket: 16.483 s | time in queue: 16.422 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:87 | n. bought products:41 | time in the supermarket: 11.256 s | time in queue: 11.070 s | n. queues checked: 1 | 
